Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1880.04,-0.29,-0.19,-0.82,-0.03
1880.13,-0.48,-0.24,-1.28,0.02
1880.21,-0.35,-0.09,-0.72,0.07
1880.29,-0.54,-0.16,-1.19,0.08
1880.38,-0.25,-0.10,-0.25,-0.05
1880.46,-0.42,-0.21,-0.23,-0.17
1880.54,-0.35,-0.18,-0.22,-0.18
1880.63,0.23,-0.10,-0.07,-0.11
1880.71,-0.39,-0.14,-0.60,-0.06
1880.79,-0.62,-0.23,-0.67,-0.14
1880.88,-0.29,-0.21,-0.63,-0.10
1880.96,-0.32,-0.18,-0.81,-0.02
1881.04,-0.70,-0.20,-0.65,-0.02
1881.13,-0.24,-0.14,-0.63,-0.00
1881.21,-0.13,0.03,-0.12,0.10
1881.29,-0.07,0.05,-0.13,0.11
1881.38,0.17,0.06,0.02,0.08
1881.46,-0.94,-0.19,-1.03,0.05
1881.54,-0.27,0.00,-0.16,0.03
1881.63,-0.27,-0.04,-0.06,-0.03
1881.71,-0.21,-0.15,-0.50,-0.08
1881.79,-0.36,-0.22,-0.81,-0.10
1881.88,-0.43,-0.19,-0.76,-0.07
1881.96,0.11,-0.07,-0.47,0.02
1882.04,0.15,0.16,0.40,0.12
1882.13,-0.17,0.14,0.26,0.11
1882.21,-0.03,0.05,0.01,0.04
1882.29,-0.54,-0.17,-0.83,0.02
1882.38,-0.62,-0.14,-0.51,-0.02
1882.46,-0.91,-0.23,-0.64,-0.08
1882.54,-0.57,-0.16,-0.54,-0.08
1882.63,-0.27,-0.07,-0.02,-0.08
1882.71,-0.16,-0.14,-0.43,-0.09
1882.79,-0.21,-0.23,-1.07,-0.05
1882.88,-0.50,-0.16,-0.90,0.04
1882.96,-0.78,-0.35,-1.85,0.09
1883.04,-0.56,-0.29,-1.49,0.02
1883.13,-0.78,-0.37,-1.65,-0.06
1883.21,-0.51,-0.12,-0.41,-0.06
1883.29,-0.43,-0.18,-0.75,-0.03
1883.38,-0.44,-0.17,-0.44,-0.11
1883.46,0.28,-0.08,-0.02,-0.10
1883.54,-0.21,-0.06,-0.09,-0.08
1883.63,-0.13,-0.14,-0.31,-0.10
1883.71,-0.42,-0.21,-0.60,-0.15
1883.79,-0.35,-0.11,-0.42,-0.06
1883.88,-0.63,-0.23,-1.04,-0.03
1883.96,-0.39,-0.11,-0.30,-0.05
1884.04,-0.69,-0.13,-0.38,-0.02
1884.13,-0.41,-0.07,-0.45,0.04
1884.21,-0.39,-0.36,-1.32,-0.11
1884.29,-0.67,-0.40,-1.30,-0.14
1884.38,-0.94,-0.34,-1.00,-0.14
1884.46,-0.45,-0.36,-0.82,-0.22
1884.54,-0.39,-0.30,-0.60,-0.27
1884.63,0.13,-0.27,-0.49,-0.24
1884.71,-0.31,-0.27,-0.82,-0.17
1884.79,-0.57,-0.25,-0.77,-0.16
1884.88,-0.71,-0.33,-0.95,-0.18
1884.96,-0.76,-0.30,-0.68,-0.18
1885.04,-0.90,-0.58,-1.88,-0.21
1885.13,-0.71,-0.34,-1.02,-0.17
1885.21,-0.75,-0.27,-0.56,-0.19
1885.29,-0.87,-0.42,-1.18,-0.23
1885.38,-0.66,-0.45,-1.01,-0.26
1885.46,-0.76,-0.44,-0.82,-0.31
1885.54,-0.59,-0.34,-0.56,-0.32
1885.63,-0.31,-0.31,-0.59,-0.25
1885.71,-0.31,-0.28,-0.56,-0.24
1885.79,-0.35,-0.23,-0.68,-0.14
1885.88,-0.34,-0.24,-0.66,-0.11
1885.96,-0.08,-0.11,-0.07,-0.08
1886.04,-0.59,-0.44,-1.25,-0.13
1886.13,-0.64,-0.51,-1.53,-0.17
1886.21,-0.44,-0.43,-1.19,-0.17
1886.29,-0.33,-0.28,-0.53,-0.17
1886.38,-0.32,-0.24,-0.39,-0.16
1886.46,-0.46,-0.35,-0.60,-0.23
1886.54,-0.11,-0.18,0.06,-0.28
1886.63,-0.32,-0.31,-0.35,-0.32
1886.71,-0.10,-0.24,-0.20,-0.28
1886.79,-0.63,-0.28,-0.65,-0.18
1886.88,-0.26,-0.28,-0.66,-0.17
1886.96,-0.33,-0.25,-0.07,-0.27
1887.04,-0.67,-0.72,-1.84,-0.37
1887.13,-1.00,-0.57,-1.38,-0.31
1887.21,-0.48,-0.36,-0.65,-0.24
1887.29,-0.56,-0.35,-0.59,-0.22
1887.38,-0.69,-0.31,-0.28,-0.29
1887.46,-0.64,-0.25,-0.32,-0.20
1887.54,-0.65,-0.26,-0.25,-0.28
1887.63,-0.57,-0.36,-0.64,-0.28
1887.71,-0.71,-0.26,-0.34,-0.23
1887.79,-0.53,-0.36,-0.79,-0.21
1887.88,-0.69,-0.26,-0.54,-0.14
1887.96,-0.63,-0.33,-0.90,-0.11
1888.04,-0.55,-0.34,-0.96,-0.12
1888.13,-0.76,-0.36,-1.16,-0.10
1888.21,-0.70,-0.41,-1.16,-0.16
1888.29,-0.26,-0.20,-0.41,-0.12
1888.38,-0.68,-0.22,-0.67,-0.06
1888.46,-0.40,-0.17,-0.44,-0.06
1888.54,-0.27,-0.10,-0.08,-0.11
1888.63,-0.26,-0.16,-0.28,-0.12
1888.71,-0.31,-0.12,-0.38,-0.05
1888.79,-0.07,0.01,-0.23,0.09
1888.88,-0.04,0.03,-0.23,0.08
1888.96,-0.21,-0.04,-0.74,0.17
1889.04,-0.28,-0.09,-0.94,0.19
1889.13,0.10,0.17,0.33,0.13
1889.21,0.11,0.06,0.05,0.10
1889.29,0.25,0.10,0.37,0.02
1889.38,0.13,-0.01,-0.05,-0.01
1889.46,-0.14,-0.10,-0.08,-0.08
1889.54,-0.21,-0.07,0.01,-0.09
1889.63,-0.43,-0.20,-0.30,-0.15
1889.71,-0.33,-0.23,-0.42,-0.19
1889.79,-0.25,-0.25,-0.66,-0.15
1889.88,-0.46,-0.33,-1.04,-0.13
1889.96,-0.37,-0.29,-0.77,-0.14
1890.04,-0.53,-0.42,-0.93,-0.24
1890.13,-0.47,-0.45,-0.93,-0.29
1890.21,-0.44,-0.40,-0.82,-0.28
1890.29,-0.14,-0.30,-0.26,-0.28
1890.38,-0.65,-0.39,-0.74,-0.28
1890.46,-0.41,-0.25,-0.26,-0.20
1890.54,-0.56,-0.28,-0.18,-0.31
1890.63,-0.56,-0.39,-0.45,-0.39
1890.71,-0.21,-0.36,-0.28,-0.43
1890.79,-0.20,-0.25,0.03,-0.34
1890.88,-0.52,-0.43,-0.93,-0.30
1890.96,-0.34,-0.32,-0.86,-0.18
1891.04,-0.70,-0.33,-0.69,-0.18
1891.13,-0.92,-0.46,-1.33,-0.18
1891.21,-0.30,-0.18,-0.26,-0.16
1891.29,-0.43,-0.27,-0.63,-0.11
1891.38,-0.39,-0.16,-0.35,-0.10
1891.46,-0.58,-0.21,-0.40,-0.11
1891.54,-0.46,-0.17,-0.23,-0.13
1891.63,-0.42,-0.17,-0.19,-0.13
1891.71,-0.32,-0.15,-0.19,-0.13
1891.79,-0.38,-0.21,-0.54,-0.12
1891.88,-0.32,-0.31,-0.88,-0.13
1891.96,0.06,-0.04,0.08,-0.07
1892.04,-0.53,-0.28,-0.72,-0.07
1892.13,-0.18,-0.11,-0.21,-0.06
1892.21,-0.62,-0.40,-1.13,-0.15
1892.29,-0.55,-0.33,-0.81,-0.14
1892.38,-0.54,-0.23,-0.45,-0.14
1892.46,-0.45,-0.22,-0.07,-0.26
1892.54,-0.28,-0.31,-0.26,-0.34
1892.63,-0.26,-0.27,-0.31,-0.26
1892.71,-0.46,-0.16,-0.23,-0.17
1892.79,-0.32,-0.14,-0.03,-0.20
1892.88,-0.62,-0.42,-1.25,-0.16
1892.96,-0.59,-0.38,-0.86,-0.23
1893.04,-1.44,-0.80,-2.62,-0.19
1893.13,-0.97,-0.56,-1.63,-0.20
1893.21,-0.47,-0.22,-0.11,-0.25
1893.29,-0.46,-0.27,-0.32,-0.23
1893.38,-0.50,-0.33,-0.55,-0.24
1893.46,-0.49,-0.25,-0.20,-0.22
1893.54,0.05,-0.13,0.22,-0.26
1893.63,-0.18,-0.25,-0.26,-0.25
1893.71,-0.19,-0.22,-0.12,-0.25
1893.79,-0.09,-0.19,-0.10,-0.25
1893.88,-0.11,-0.19,-0.04,-0.22
1893.96,-0.44,-0.34,-0.63,-0.25
1894.04,-0.67,-0.53,-1.17,-0.27
1894.13,-0.45,-0.31,-0.16,-0.30
1894.21,-0.36,-0.23,-0.04,-0.32
1894.29,-0.63,-0.45,-0.79,-0.33
1894.38,-0.63,-0.32,-0.27,-0.30
1894.46,-0.51,-0.41,-0.56,-0.36
1894.54,-0.37,-0.25,-0.25,-0.28
1894.63,-0.37,-0.25,-0.26,-0.26
1894.71,-0.48,-0.29,-0.42,-0.24
1894.79,-0.25,-0.24,-0.34,-0.21
1894.88,-0.31,-0.27,-0.75,-0.12
1894.96,-0.23,-0.22,-0.63,-0.11
1895.04,-0.67,-0.42,-1.45,-0.09
1895.13,-0.78,-0.43,-1.39,-0.08
1895.21,-0.58,-0.34,-0.62,-0.22
1895.29,-0.45,-0.22,-0.14,-0.22
1895.38,-0.42,-0.28,-0.44,-0.22
1895.46,-0.16,-0.21,-0.18,-0.21
1895.54,-0.51,-0.18,-0.23,-0.18
1895.63,-0.22,-0.18,-0.29,-0.15
1895.71,-0.17,-0.12,-0.11,-0.13
1895.79,-0.17,-0.10,-0.25,-0.04
1895.88,-0.20,-0.17,-0.30,-0.10
1895.96,-0.09,-0.14,-0.30,-0.07
1896.04,-0.20,-0.22,-0.41,-0.11
1896.13,-0.24,-0.12,-0.30,-0.04
1896.21,-0.61,-0.26,-0.99,0.02
1896.29,-0.47,-0.30,-1.07,0.02
1896.38,-0.37,-0.15,-0.33,-0.06
1896.46,-0.37,-0.11,-0.03,-0.11
1896.54,-0.16,-0.02,0.00,-0.03
1896.63,-0.34,-0.05,-0.14,-0.00
1896.71,-0.17,-0.06,-0.24,-0.03
1896.79,-0.14,0.07,0.00,0.06
1896.88,-0.34,-0.04,-0.61,0.14
1896.96,-0.22,-0.04,-0.47,0.14
1897.04,-0.22,-0.15,-0.77,0.07
1897.13,-0.44,-0.16,-0.71,0.06
1897.21,-0.28,-0.13,-0.80,0.10
1897.29,-0.09,-0.01,-0.09,0.06
1897.38,-0.13,-0.01,0.19,-0.07
1897.46,-0.01,-0.11,0.05,-0.14
1897.54,0.03,-0.02,0.18,-0.09
1897.63,-0.24,-0.09,-0.04,-0.09
