Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.28,-.05,-.38,-.13,-.02,-.80,-.52,-.26,-.14,-.11,-.04,.05,.67
1881,-.09,-.18,.00,-.36,.10,-.07,-.93,-.50,-.19,.11,.10,-.06,-.07,.60
1882,-.11,-.21,-.01,-.31,-.04,.01,-1.41,-.31,-.13,-.04,-.05,.01,.04,.63
1883,-.17,-.28,-.07,-.34,-.17,-.01,-.18,-.58,-.24,-.17,-.16,-.04,.07,.50
1884,-.28,-.42,-.15,-.61,-.14,-.14,-1.30,-.66,-.45,-.12,-.17,-.19,-.02,.65
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.50,-.70,-.46,-.06,-.21,-.33,-.15,.82
1886,-.31,-.43,-.20,-.57,-.20,-.21,-1.58,-.51,-.40,-.21,-.19,-.20,-.20,.59
1887,-.36,-.44,-.29,-.53,-.30,-.28,-1.76,-.53,-.29,-.29,-.31,-.28,-.26,.32
1888,-.17,-.23,-.12,-.42,.10,-.29,-1.30,-.44,-.24,.07,.13,-.31,-.23,.16
1889,-.10,-.17,-.04,-.29,.08,-.16,-.68,-.23,-.27,.02,.14,-.15,-.15,.45
1890,-.35,-.39,-.32,-.46,-.37,-.22,-1.14,-.57,-.27,-.26,-.47,-.17,-.27,.15
1891,-.22,-.25,-.19,-.42,-.07,-.21,-1.11,-.33,-.36,.02,-.17,-.18,-.24,-.15
1892,-.27,-.39,-.16,-.44,-.29,-.08,-1.15,-.66,-.17,-.31,-.26,.02,-.21,.09
1893,-.31,-.47,-.16,-.50,-.37,-.05,-.65,-.54,-.47,-.41,-.32,.07,-.20,-.04
1894,-.31,-.39,-.24,-.32,-.36,-.24,-.95,-.32,-.19,-.48,-.24,-.14,-.35,-.37
1895,-.23,-.30,-.16,-.40,-.09,-.26,-.67,-.52,-.27,-.14,-.03,-.19,-.32,-.58
1896,-.11,-.19,-.03,-.35,.10,-.15,-.88,-.37,-.22,.07,.14,-.15,-.13,.26
1897,-.11,-.16,-.05,-.35,.18,-.23,-.56,-.47,-.24,.15,.20,-.19,-.27,.41
1898,-.27,-.28,-.26,-.35,-.22,-.26,-1.15,-.25,-.23,-.17,-.26,-.28,-.21,.38
1899,-.17,-.20,-.15,-.24,-.12,-.19,-1.01,-.10,-.14,-.14,-.09,-.15,-.22,.58
1900,-.08,-.08,-.06,-.20,.18,-.30,-.52,-.16,-.15,.11,.26,-.29,-.29,.27
1901,-.15,-.12,-.19,-.16,-.04,-.30,-.34,-.12,-.15,-.06,-.03,-.27,-.34,.26
1902,-.28,-.33,-.22,-.54,-.04,-.35,-1.50,-.52,-.31,-.01,-.06,-.28,-.43,-.04
1903,-.37,-.37,-.36,-.46,-.28,-.38,-.20,-.43,-.55,-.23,-.34,-.35,-.40,-.50
1904,-.47,-.48,-.46,-.51,-.47,-.44,-.19,-.60,-.55,-.44,-.50,-.37,-.49,-1.32
1905,-.26,-.28,-.23,-.40,-.09,-.36,-.01,-.23,-.62,-.11,-.06,-.33,-.37,-.34
1906,-.22,-.23,-.21,-.25,-.19,-.23,-.24,-.07,-.39,-.20,-.19,-.20,-.22,-.72
1907,-.39,-.47,-.30,-.58,-.31,-.29,-.55,-.73,-.51,-.30,-.32,-.21,-.37,-1.20
1908,-.43,-.45,-.40,-.47,-.44,-.36,-.21,-.55,-.51,-.42,-.47,-.28,-.48,.67
1909,-.48,-.49,-.48,-.53,-.48,-.44,-.71,-.62,-.44,-.44,-.53,-.37,-.52,-.57
1910,-.44,-.44,-.43,-.42,-.49,-.38,-.59,-.24,-.49,-.48,-.51,-.33,-.45,.16
1911,-.44,-.42,-.47,-.42,-.44,-.48,-.27,-.42,-.47,-.42,-.45,-.43,-.53,.05
1912,-.37,-.47,-.26,-.59,-.20,-.36,-.49,-.79,-.50,-.28,-.12,-.36,-.29,-1.64
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.47,-.33,-.51,-.39,-.15,-.28,-.40,-1.04
1914,-.15,-.19,-.11,-.24,-.06,-.18,-.33,-.16,-.28,-.11,-.02,-.15,-.18,-.37
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.56,-.16,-.19,.00,-.02,-.15,-.23,-1.99
1916,-.36,-.42,-.31,-.37,-.45,-.23,-.48,-.54,-.24,-.49,-.41,-.23,-.17,-1.05
1917,-.46,-.57,-.36,-.50,-.63,-.19,-.78,-.50,-.43,-.68,-.59,-.23,-.09,.06
1918,-.29,-.39,-.20,-.40,-.33,-.14,-.98,-.27,-.34,-.38,-.29,-.06,-.23,-.28
1919,-.27,-.35,-.20,-.43,-.20,-.22,-.67,-.56,-.30,-.23,-.17,-.14,-.32,.19
1920,-.27,-.30,-.24,-.25,-.26,-.32,.01,-.20,-.35,-.37,-.13,-.19,-.48,-1.15
1921,-.19,-.11,-.27,.02,-.25,-.31,.02,.17,-.08,-.29,-.21,-.23,-.38,-.84
1922,-.28,-.27,-.30,-.24,-.32,-.27,-.24,-.40,-.14,-.32,-.32,-.24,-.28,-.28
1923,-.26,-.22,-.31,-.15,-.30,-.34,.23,-.15,-.26,-.32,-.27,-.26,-.41,-.55
1924,-.27,-.18,-.36,-.12,-.26,-.43,.56,-.25,-.23,-.26,-.25,-.39,-.45,-.54
1925,-.22,-.13,-.30,-.03,-.24,-.37,-.02,.18,-.18,-.27,-.21,-.24,-.55,-.87
1926,-.11,.02,-.22,.02,.02,-.40,.58,.16,-.22,.01,.02,-.35,-.45,-.64
1927,-.22,-.13,-.30,-.13,-.16,-.38,.04,-.22,-.13,-.13,-.18,-.30,-.45,-1.39
1928,-.20,-.10,-.30,-.07,-.15,-.39,.68,-.17,-.22,-.14,-.17,-.29,-.48,-2.13
1929,-.36,-.33,-.38,-.38,-.28,-.45,.13,-.61,-.38,-.27,-.29,-.43,-.44,-1.08
1930,-.16,-.01,-.29,.04,-.11,-.42,.52,.05,-.10,-.09,-.13,-.33,-.46,-2.60
1931,-.09,.05,-.22,.02,.08,-.42,.58,-.04,-.14,.11,.05,-.42,-.40,-.42
1932,-.16,-.05,-.26,.04,-.16,-.35,.47,.20,-.21,-.19,-.14,-.21,-.53,-.99
1933,-.29,-.25,-.32,-.23,-.28,-.34,-.14,-.46,-.12,-.28,-.29,-.22,-.48,-1.15
1934,-.12,.00,-.25,.18,-.25,-.26,.90,.31,-.12,-.25,-.25,-.15,-.38,-.57
1935,-.20,-.09,-.30,-.04,-.18,-.37,.34,-.04,-.16,-.16,-.20,-.30,-.41,-1.72
1936,-.15,-.03,-.26,-.02,-.13,-.30,.42,.11,-.25,-.04,-.21,-.26,-.33,-.04
1937,-.03,.13,-.18,.20,-.05,-.22,1.24,.03,-.02,.01,-.12,-.19,-.25,.36
1938,.00,.16,-.18,.39,-.23,-.10,1.52,.39,.03,-.17,-.28,-.06,-.11,-.87
1939,-.02,.09,-.13,.23,-.12,-.12,.56,.29,.08,-.11,-.14,-.04,-.18,-1.61
1940,.12,.17,.09,.11,.28,-.07,.99,-.02,-.09,.27,.28,.03,-.20,-.06
1941,.18,.23,.16,.02,.49,-.05,.02,-.09,.08,.54,.43,.04,-.15,-.47
1942,.06,.12,.01,.13,.07,-.01,.73,-.06,.06,.11,.03,.06,-.05,-.90
1943,.09,.18,-.01,.38,-.09,.04,1.43,.28,.11,-.11,-.07,.07,.00,1.13
1944,.20,.27,.14,.39,.18,.05,1.18,.47,.10,.11,.26,.19,-.09,-.96
1945,.09,.10,.09,.11,.16,-.03,.65,-.02,.04,.09,.23,.04,.00,-1.79
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.07,-.22,-.24,-.19
1947,-.03,.08,-.13,.16,-.06,-.16,1.07,-.13,.05,-.03,-.09,-.19,-.08,-.23
1948,-.11,-.01,-.20,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-1.99
1950,-.17,-.15,-.21,-.05,-.29,-.14,.18,-.30,.04,-.30,-.28,-.06,-.16,-.87
1951,-.07,.04,-.18,.08,-.06,-.23,.07,.01,.12,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.52
1953,.08,.24,-.08,.36,.07,-.18,1.03,.35,.14,.08,.06,-.08,-.24,-1.12
1954,-.13,-.02,-.25,.07,-.22,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.82
1955,-.14,-.09,-.20,.05,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.48,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.17,.14,.12,.26,.15,-.09,-.08,-.53
