years,temperatures
1991.04,0.31
1991.13,0.29
1991.21,0.3
1991.29,0.37
1991.38,0.34
1991.46,0.34
1991.54,0.32
1991.63,0.29
1991.71,0.26
1991.79,0.22
1991.88,0.25
1991.96,0.25
1992.04,0.23
1992.13,0.27
1992.21,0.28
1992.29,0.31
1992.38,0.32
1992.46,0.31
1992.54,0.2
1992.63,0.13
1992.71,0.14
1992.79,0.12
1992.88,0.12
1992.96,0.15
1993.04,0.22
1993.13,0.22
1993.21,0.23
1993.29,0.25
1993.38,0.28
1993.46,0.27
1993.54,0.19
1993.63,0.17
1993.71,0.2
1993.79,0.19
1993.88,0.2
1993.96,0.16
1994.04,0.16
1994.13,0.17
1994.21,0.22
1994.29,0.24
1994.38,0.25
1994.46,0.23
1994.54,0.23
1994.63,0.23
1994.71,0.2
1994.79,0.29
1994.88,0.32
1994.96,0.33
1995.04,0.3
1995.13,0.32
1995.21,0.31
1995.29,0.29
1995.38,0.24
1995.46,0.27
1995.54,0.3
1995.63,0.3
1995.71,0.24
1995.79,0.25
1995.88,0.29
1995.96,0.22
1996.04,0.2
1996.13,0.25
1996.21,0.27
1996.29,0.27
1996.38,0.24
1996.46,0.26
1996.54,0.21
1996.63,0.26
1996.71,0.24
1996.79,0.21
1996.88,0.22
1996.96,0.23
1997.04,0.2
1997.13,0.26
1997.21,0.3
1997.29,0.29
1997.38,0.34
1997.46,0.4
1997.54,0.43
1997.63,0.45
1997.71,0.5
1997.79,0.52
1997.88,0.51
1997.96,0.53
1998.04,0.5
1998.13,0.51
1998.21,0.49
1998.29,0.5
1998.38,0.51
1998.46,0.5
1998.54,0.47
1998.63,0.45
1998.71,0.31
1998.79,0.33
1998.88,0.37
1998.96,0.31
1999.04,0.25
1999.13,0.24
1999.21,0.32
1999.29,0.29
1999.38,0.23
1999.46,0.22
1999.54,0.2
1999.63,0.19
1999.71,0.19
1999.79,0.17
1999.88,0.18
1999.96,0.21
2000.04,0.21
2000.13,0.24
2000.21,0.25
2000.29,0.26
2000.38,0.23
2000.46,0.2
2000.54,0.23
2000.63,0.27
2000.71,0.3
2000.79,0.3
2000.88,0.27
2000.96,0.27
2001.04,0.27
2001.13,0.29
2001.21,0.35
2001.29,0.38
2001.38,0.38
2001.46,0.41
2001.54,0.42
2001.63,0.41
2001.71,0.4
2001.79,0.42
2001.88,0.4
2001.96,0.4
2002.04,0.38
2002.13,0.4
2002.21,0.44
2002.29,0.44
2002.38,0.44
2002.46,0.46
2002.54,0.4
2002.63,0.38
2002.71,0.39
2002.79,0.41
2002.88,0.39
2002.96,0.43
2003.04,0.39
2003.13,0.42
2003.21,0.45
2003.29,0.42
2003.38,0.41
2003.46,0.42
2003.54,0.45
2003.63,0.5
2003.71,0.5
2003.79,0.51
2003.88,0.45
2003.96,0.42
2004.04,0.43
2004.13,0.46
2004.21,0.43
2004.29,0.46
2004.38,0.38
2004.46,0.37
2004.54,0.43
2004.63,0.45
2004.71,0.45
2004.79,0.46
2004.88,0.45
2004.96,0.43
2005.04,0.42
2005.13,0.4
2005.21,0.43
2005.29,0.43
2005.38,0.46
2005.46,0.45
2005.54,0.48
2005.63,0.48
2005.71,0.44
2005.79,0.4
2005.88,0.38
2005.96,0.36
2006.04,0.37
2006.13,0.37
2006.21,0.36
2006.29,0.4
2006.38,0.42
2006.46,0.44
2006.54,0.44
2006.63,0.46
